timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], clocks_throttle_reasons.gpu_idle, clocks_throttle_reasons.applications_clocks_setting, clocks_throttle_reasons.sw_power_cap, clocks_throttle_reasons.hw_slowdown
2020/11/21 07:28:04.753, 141.76 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:28:06.757, 59.82 W, 2010 MHz, 7000 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:28:08.762, 33.87 W, 225 MHz, 810 MHz, 225 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:28:10.794, 24.87 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:28:12.831, 22.09 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:28:14.870, 21.88 W, 210 MHz, 405 MHz, 210 MHz, Active, Not Active, Not Active, Not Active
2020/11/21 07:28:16.906, 36.31 W, 1755 MHz, 6800 MHz, 1755 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:28:18.933, 115.96 W, 1575 MHz, 6800 MHz, 1575 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:28:20.940, 153.96 W, 1725 MHz, 6800 MHz, 1725 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:28:22.944, 151.13 W, 1665 MHz, 6800 MHz, 1665 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:28:24.948, 141.08 W, 1530 MHz, 6800 MHz, 1530 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:28:26.954, 149.68 W, 1815 MHz, 6800 MHz, 1905 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:28:28.963, 113.15 W, 2010 MHz, 6800 MHz, 2010 MHz, Not Active, Not Active, Not Active, Not Active
2020/11/21 07:28:30.967, 131.46 W, 1425 MHz, 6800 MHz, 1425 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:28:32.971, 153.79 W, 1560 MHz, 6800 MHz, 1560 MHz, Not Active, Not Active, Active, Not Active
2020/11/21 07:28:34.975, 153.80 W, 1605 MHz, 6800 MHz, 1605 MHz, Not Active, Not Active, Active, Not Active
