CPU Family,CPU,GPU Family,GPU Model,Config,Mode,Precision,Model,Power Limit,Batches per run,REFERENCE
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,resnet50-48,130,50,"973,7"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,vgg16-48,130,50,345
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,alexnet-384,130,50,"3208,05"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,inception3-48,130,50,172
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,inception4-12,130,50,527
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,resnet152-24,130,50,793
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,resnet50-48,130,50,254
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,vgg16-48,130,50,-nan
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,alexnet-768,160,50,"12369,5"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,inception3-96,160,50,"1027,23"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,inception4-24,160,50,636
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,resnet152-64,160,50,"978,45"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,resnet50-96,160,50,"2584,1"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,vgg16-96,160,50,906
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,alexnet-768,160,50,"4590,6"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,inception3-96,160,50,325
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,inception4-24,160,50,"143,7"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,resnet152-64,160,50,205
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,resnet50-96,160,50,"607,5"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,vgg16-96,160,50,103
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,alexnet-384,160,50,"1971,98"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,inception3-48,160,50,"680,4"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,inception4-12,160,50,242
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,resnet152-24,160,50,350
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,resnet50-48,160,50,"1026,48"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,vgg16-48,160,50,"647,85"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,alexnet-384,160,50,"3433,13"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,inception3-48,160,50,"182,8"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,inception4-12,160,50,"56,5"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,resnet152-24,160,50,830
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,resnet50-48,160,50,"263,2"
